BODY CONDITION,BASE TAIL CIRCUMFERENCE (BTC),BTC:STL,BODY SIZE,EYE TO EAR LENGTH (EEL),EEL: SKULL LENGTH,EEL:STL,SKULL LENGTH (SL),SL:STL,SKULL WIDTH (SW),SW:STL,SW:SL,SNOUT-TAIL-LENGTH (STL) ,SNOUT-VENT-LENGTH (SVL),TAIL LENGTH (TL),TL:STL,THIGH WIDTH (TW),TW:STL,WEIGHT,"SEX (male= 0, female= 1)"
0.028481013,22,0.139240506,0.95961,3.8,0.351851852,0.024050633,10.8,0.06835443,17.1,0.108227848,1.583333333,158,62.5,95.5,0.60443038,15.9,0.100632911,4.5,0
0.016791045,15.9,0.118656716,-0.94439,3.2,0.32,0.023880597,10,0.074626866,15.2,0.113432836,1.52,134,52,82,0.611940299,13,0.097014925,2.25,1
0.015053763,16.7,0.119713262,-0.90286,3.2,0.316831683,0.022939068,10.1,0.072401434,15,0.107526882,1.485148515,139.5,53,86.5,0.620071685,12.4,0.088888889,2.1,0
0.018374558,15,0.106007067,-0.64397,3.1,0.322916667,0.021908127,9.6,0.067844523,15.6,0.11024735,1.625,141.5,54,87.5,0.618374558,16,0.113074205,2.6,1
0.016666667,16.4,0.133333333,-1.24998,3,0.319148936,0.024390244,9.4,0.076422764,15.6,0.126829268,1.659574468,123,51,72,0.585365854,12.6,0.102439024,2.05,0
0.021902806,18,0.123203285,-0.0175,3.2,0.32,0.021902806,10,0.06844627,18,0.123203285,1.8,146.1,58.5,87.6,0.599589322,14.9,0.101984942,3.2,1
0.021666667,16.6,0.138333333,-0.58915,3.4,0.346938776,0.028333333,9.8,0.081666667,15.4,0.128333333,1.571428571,120,55.2,64.8,0.54,16.1,0.134166667,2.6,0
0.019601542,18,0.115681234,0.04846,3.2,0.301886792,0.020565553,10.6,0.068123393,17.2,0.110539846,1.622641509,155.6,60.3,95.3,0.612467866,14.1,0.090616967,3.05,1
0.026745914,21,0.156017831,0.32253,3.3,0.317307692,0.024517088,10.4,0.077265973,18,0.133729569,1.730769231,134.6,59,75.6,0.56166419,16.1,0.11961367,3.6,0
0.015306122,20.1,0.136734694,-0.1548,3.4,0.336633663,0.023129252,10.1,0.068707483,16.4,0.111564626,1.623762376,147,55,92,0.62585034,14.9,0.101360544,2.25,0
0.029411765,20.4,0.134831461,0.81718,4.45,0.43627451,0.029411765,10.2,0.06741573,17.4,0.115003305,1.705882353,151.3,59,92.3,0.610046266,14.9,0.098479841,4.45,0
0.016393443,16.6,0.123695976,-0.94494,3.2,0.333333333,0.023845007,9.6,0.071535022,14.8,0.110283159,1.541666667,134.2,53.5,80.7,0.601341282,13.5,0.100596125,2.2,1
0.017621145,18,0.13215859,-0.79359,3,0.3125,0.022026432,9.6,0.070484581,16,0.117474302,1.666666667,136.2,51,85.2,0.625550661,14,0.102790015,2.4,0
0.019303558,16.4,0.124148372,-0.85498,3.4,0.369565217,0.025738077,9.2,0.069644209,16,0.121120363,1.739130435,132.1,52.4,79.7,0.60333081,13.2,0.0999243,2.55,1
0.020543175,17,0.118384401,-0.46779,3.1,0.306930693,0.021587744,10.1,0.070334262,16,0.111420613,1.584158416,143.6,57,86.6,0.603064067,13.8,0.096100279,2.95,1
0.020394737,17.6,0.115789474,0.34961,3.6,0.336448598,0.023684211,10.7,0.070394737,18,0.118421053,1.682242991,152,63.5,88.5,0.582236842,14.5,0.095394737,3.1,1
0.02046332,17,0.131274131,-0.81485,3.1,0.316326531,0.023938224,9.8,0.075675676,16,0.123552124,1.632653061,129.5,55,74.5,0.575289575,12.9,0.0996139,2.65,0
0.025901639,19.5,0.127868852,0.37125,3.6,0.356435644,0.023606557,10.1,0.066229508,17,0.11147541,1.683168317,152.5,61,91.5,0.6,15,0.098360656,3.95,1
0.025836759,18.3,0.107457428,1.22012,3.6,0.315789474,0.021139166,11.4,0.066940693,19.7,0.115678215,1.728070175,170.3,66.5,103.8,0.609512625,16,0.09395185,4.4,0
0.014307811,16.2,0.125290023,-1.10023,3.1,0.326315789,0.023975251,9.5,0.073472544,15.6,0.120649652,1.642105263,129.3,49.5,79.8,0.617169374,13.8,0.106728538,1.85,0
0.020322355,17.1,0.119831815,-0.44077,3.2,0.31372549,0.022424667,10.2,0.071478626,16.6,0.116327961,1.62745098,142.7,55,87.7,0.614576034,13.4,0.093903294,2.9,0
0.0315625,21.2,0.1325,1.36854,3.6,0.318584071,0.0225,11.3,0.070625,18.5,0.115625,1.637168142,160,64,96,0.6,18,0.1125,5.05,1
0.030618687,18.9,0.119318182,1.14643,4,0.36036036,0.025252525,11.1,0.070075758,18.4,0.116161616,1.657657658,158.4,63.3,95.1,0.600378788,16.3,0.10290404,4.85,0
0.023347701,18.2,0.130747126,0.03325,3.3,0.33,0.023706897,10,0.07183908,17,0.122126437,1.7,139.2,57,82.2,0.590517241,17,0.122126437,3.25,1
0.019562334,20,0.132625995,0.4622,3.7,0.355769231,0.024535809,10.4,0.068965517,18.1,0.120026525,1.740384615,150.8,58,92.8,0.615384615,16,0.106100796,2.95,1
0.022178735,19.7,0.128506197,0.21324,3.1,0.303921569,0.020221787,10.2,0.066536204,18,0.11741683,1.764705882,153.3,59.4,93.9,0.612524462,15.2,0.09915199,3.4,0
0.030091185,22.6,0.137386018,1.47364,4,0.384615385,0.024316109,10.4,0.063221884,20,0.121580547,1.923076923,164.5,64.1,100.4,0.610334347,16.4,0.099696049,4.95,0
0.031158142,20.4,0.119929453,2.01708,4.1,0.341666667,0.024103469,12,0.070546737,21.1,0.12404468,1.758333333,170.1,68.2,101.9,0.599059377,17,0.099941211,5.3,1
0.022587269,18.5,0.126625599,0.3793,3.6,0.327272727,0.024640657,11,0.075290897,18,0.123203285,1.636363636,146.1,56.6,89.5,0.612594114,15.6,0.106776181,3.3,1
0.027796383,20,0.133958473,0.61356,3.4,0.317757009,0.02277294,10.7,0.071667783,18,0.120562626,1.682242991,149.3,59.2,90.1,0.60348292,16.5,0.11051574,4.15,0
0.030565167,20.3,0.117070358,1.8081,3.6,0.307692308,0.020761246,11.7,0.067474048,20.7,0.119377163,1.769230769,173.4,69,104.4,0.602076125,17.4,0.100346021,5.3,1
0.02926679,20.6,0.126925447,0.88246,3.2,0.301886792,0.019716574,10.6,0.065311152,18.9,0.116451017,1.783018868,162.3,62,100.3,0.617991374,16.3,0.1004313,4.75,1
0.030419374,22.8,0.13467218,1.92434,4,0.357142857,0.023626698,11.2,0.066154755,20,0.118133491,1.785714286,169.3,64,105.3,0.621972829,19,0.112226816,5.15,0
0.023076923,18.3,0.122408027,-0.14214,3.1,0.303921569,0.020735786,10.2,0.068227425,16.8,0.112374582,1.647058824,149.5,57,92.5,0.618729097,14.2,0.094983278,3.45,0
0.028532609,19.3,0.13111413,1.05902,3.7,0.313559322,0.02513587,11.8,0.080163043,19.5,0.132472826,1.652542373,147.2,63,84.2,0.57201087,16.1,0.109375,4.2,1
0.020888594,17.3,0.114721485,-0.24291,3,0.294117647,0.019893899,10.2,0.067639257,16.2,0.107427056,1.588235294,150.8,59.2,91.6,0.607427056,14.6,0.096816976,3.15,1
0.027688345,19,0.122343851,0.81307,3.6,0.324324324,0.02318094,11.1,0.071474565,18,0.115904701,1.621621622,155.3,62.7,92.6,0.596265293,16,0.103026401,4.3,1
0.024556213,20,0.118343195,0.96593,3.7,0.366336634,0.021893491,10.1,0.059763314,18.5,0.109467456,1.831683168,169,65,104,0.615384615,16.4,0.09704142,4.15,0
0.026631158,19.7,0.131158455,0.64482,3.6,0.336448598,0.023968043,10.7,0.071238349,18,0.119840213,1.682242991,150.2,60.9,89.3,0.594540613,15.9,0.105858855,4,1
0.023963731,18,0.116580311,0.32346,3.4,0.317757009,0.022020725,10.7,0.069300518,17.2,0.111398964,1.607476636,154.4,60,94.4,0.611398964,15.3,0.099093264,3.7,1
0.020316804,17,0.11707989,-0.13305,3.1,0.306930693,0.021349862,10.1,0.069559229,17,0.11707989,1.683168317,145.2,65.4,79.8,0.549586777,14.4,0.099173554,2.95,1
0.028266332,22,0.138190955,1.11549,4,0.396039604,0.025125628,10.1,0.063442211,18.8,0.118090452,1.861386139,159.2,64,95.2,0.59798995,15.9,0.099874372,4.5,0
0.020895522,17.2,0.128358209,-0.52525,3.3,0.35106383,0.024626866,9.4,0.070149254,16.2,0.120895522,1.723404255,134,57,77,0.574626866,14.6,0.108955224,2.8,1
0.028543938,19.8,0.12700449,0.79098,3.6,0.346153846,0.023091725,10.4,0.066709429,18,0.115458627,1.730769231,155.9,60.4,95.5,0.612572162,16.9,0.108402822,4.45,1
0.027027027,20,0.128700129,0.58364,3.5,0.339805825,0.022522523,10.3,0.066280566,18,0.115830116,1.747572816,155.4,60,95.4,0.613899614,15.6,0.1003861,4.2,0
0.028600965,21.8,0.150241213,0.89757,3.6,0.330275229,0.024810476,10.9,0.075120606,17.9,0.123363198,1.642201835,145.1,65,80.1,0.552033081,16.5,0.11371468,4.15,0
0.018796992,18.6,0.116541353,0.08656,3.6,0.356435644,0.022556391,10.1,0.063283208,16.3,0.102130326,1.613861386,159.6,59.5,100.1,0.627192982,14.2,0.088972431,3,0
